epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
1,2.206492,2.920617,29.89,0.0002,2025-12-08T18:56:17.018242
2,1.944274,2.21992,47.03,0.0004,2025-12-08T18:57:54.107135
3,1.809668,2.335997,48.88,0.0006,2025-12-08T18:59:28.669667
4,1.759853,2.040669,51.24,0.0008,2025-12-08T19:00:43.308604
5,1.787101,2.056921,50.71,0.001,2025-12-08T19:02:02.078374
6,1.766665,1.908917,52.99,0.00099994,2025-12-08T19:03:16.112453
7,1.780949,1.935553,54.9,0.00099974,2025-12-08T19:04:29.509387
8,1.74733,1.888335,54.39,0.00099942,2025-12-08T19:05:42.670634
9,1.652002,1.818901,56.11,0.00099896,2025-12-08T19:06:56.193482
10,1.645733,1.813946,56.51,0.00099838,2025-12-08T19:08:09.472809
11,1.634646,1.826253,57.56,0.00099767,2025-12-08T19:09:23.346209
12,1.641071,1.789516,57.81,0.00099682,2025-12-08T19:10:36.274343
13,1.671027,1.844563,56.22,0.00099585,2025-12-08T19:11:49.503093
14,1.610919,1.756539,58.41,0.00099475,2025-12-08T19:13:42.677356
15,1.662426,1.747314,59.57,0.00099353,2025-12-08T19:15:21.343480
16,1.584835,1.802367,57.4,0.00099217,2025-12-08T19:16:34.276153
17,1.600812,1.682415,59.71,0.00099069,2025-12-08T19:17:46.919441
18,1.560416,1.655261,61.28,0.00098907,2025-12-08T19:18:59.298156
19,1.617264,1.707986,60.1,0.00098734,2025-12-08T19:20:11.924127
20,1.581673,1.64,61.66,0.00098547,2025-12-08T19:21:24.327860
21,1.534108,1.725449,59.67,0.00098348,2025-12-08T19:22:37.204437
22,1.527007,1.680406,61.78,0.00098136,2025-12-08T19:23:49.654572
23,1.549948,1.60448,61.91,0.00097912,2025-12-08T19:25:13.309642
24,1.535139,1.69309,61.8,0.00097676,2025-12-08T19:26:47.010308
25,1.588102,1.646327,62.09,0.00097427,2025-12-08T19:28:20.637369
26,1.538643,1.592859,62.84,0.00097166,2025-12-08T19:29:55.287207
27,1.526174,1.656096,62.08,0.00096892,2025-12-08T19:31:28.391731
28,1.572744,1.618843,62.62,0.00096606,2025-12-08T19:33:01.641918
29,1.5629,1.573478,63.28,0.00096309,2025-12-08T19:34:35.169720
30,1.542723,1.526931,65.05,0.00095999,2025-12-08T19:36:09.269336
31,1.60716,1.524475,64.66,0.00095677,2025-12-08T19:37:43.028590
32,1.535419,1.627417,63.33,0.00095344,2025-12-08T19:39:16.671675
33,1.539511,1.518662,65.06,0.00094998,2025-12-08T19:40:49.265745
34,1.496476,1.563766,64.51,0.00094641,2025-12-08T19:42:22.572377
35,1.487761,1.560348,64.47,0.00094273,2025-12-08T19:43:56.512899
36,1.539265,2.026205,62.82,0.00093893,2025-12-08T19:45:30.089112
37,1.540529,1.625987,63.68,0.00093501,2025-12-08T19:47:02.872231
38,1.503263,1.463762,65.9,0.00093098,2025-12-08T19:48:35.878835
39,1.489047,1.98037,63.46,0.00092685,2025-12-08T19:50:08.680483
40,1.554097,1.541674,64.15,0.0009226,2025-12-08T19:51:41.689501
41,1.486274,1.480634,65.91,0.00091824,2025-12-08T19:53:14.541063
42,1.535195,1.59625,65.02,0.00091377,2025-12-08T19:54:48.303225
43,1.477345,1.595278,65.62,0.00090919,2025-12-08T19:56:21.135039
44,1.560777,1.405827,67.42,0.00090451,2025-12-08T19:57:54.962971
45,1.467528,1.501757,65.51,0.00089972,2025-12-08T19:59:30.505336
46,1.522009,1.586211,65.3,0.00089483,2025-12-08T20:00:59.272178
