epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
84,1.299141,1.393006,68.7,0.00064683,2025-12-08T15:37:45.809407
85,1.27596,1.41614,69.32,0.00063911,2025-12-08T15:39:17.827414
86,1.265545,1.335723,68.87,0.00063135,2025-12-08T15:40:50.131144
87,1.239077,1.381188,69.62,0.00062356,2025-12-08T15:42:22.072511
88,1.180301,1.363196,69.98,0.00061574,2025-12-08T15:43:54.438107
89,1.281263,1.384124,69.15,0.00060789,2025-12-08T15:45:27.065295
90,1.226889,1.401043,68.09,0.00060001,2025-12-08T15:46:59.338600
91,1.276076,1.378803,69.15,0.00059211,2025-12-08T15:48:32.051446
92,1.216642,1.356251,69.47,0.00058418,2025-12-08T15:50:04.601635
93,1.254138,1.366387,70.0,0.00057623,2025-12-08T15:51:36.360358
94,1.232457,1.409375,68.04,0.00056826,2025-12-08T15:53:08.915189
95,1.253509,1.37124,69.83,0.00056027,2025-12-08T15:54:40.928357
96,1.228528,1.348355,69.41,0.00055226,2025-12-08T15:56:07.595205
97,1.246325,1.366973,69.56,0.00054425,2025-12-08T15:57:22.351298
98,1.260377,1.311892,70.19,0.00053622,2025-12-08T15:58:44.362805
99,1.286951,1.369692,69.16,0.00052818,2025-12-08T16:00:35.724117
100,1.238309,1.304365,69.78,0.00052013,2025-12-08T16:01:58.360929
101,1.196898,1.343805,70.4,0.00051208,2025-12-08T16:03:12.961663
102,1.298278,1.392071,69.74,0.00050403,2025-12-08T16:04:27.277537
103,1.231734,1.365985,69.09,0.00049597,2025-12-08T16:05:41.588318
104,1.227419,1.334265,70.14,0.00048792,2025-12-08T16:06:55.986259
105,1.284128,1.330207,70.88,0.00047987,2025-12-08T16:08:16.088148
106,1.208676,1.277425,70.3,0.00047182,2025-12-08T16:09:47.299488
107,1.214821,1.335387,70.03,0.00046378,2025-12-08T16:11:18.416187
108,1.236858,1.31464,70.49,0.00045575,2025-12-08T16:12:49.084689
109,1.241408,1.284429,70.93,0.00044774,2025-12-08T16:14:19.881963
110,1.168519,1.347322,69.99,0.00043973,2025-12-08T16:15:50.958768
111,1.211989,1.314135,70.24,0.00043174,2025-12-08T16:17:22.855756
112,1.233863,1.350162,70.26,0.00042377,2025-12-08T16:18:54.290620
113,1.189138,1.295514,71.32,0.00041582,2025-12-08T16:20:11.588546
114,1.241243,1.273975,70.64,0.00040789,2025-12-08T16:21:25.832604
115,1.187102,1.306296,71.19,0.00039999,2025-12-08T16:22:39.650322
116,1.195615,1.29432,71.56,0.00039211,2025-12-08T16:23:53.434443
117,1.164152,1.230332,72.3,0.00038426,2025-12-08T16:25:07.588467
118,1.254566,1.265255,70.98,0.00037644,2025-12-08T16:26:21.612845
119,1.176781,1.267637,71.56,0.00036865,2025-12-08T16:27:35.349652
120,1.191167,1.266273,71.54,0.00036089,2025-12-08T16:28:49.007902
121,1.146815,1.263517,71.53,0.00035317,2025-12-08T16:30:03.612570
122,1.218961,1.309003,71.09,0.00034549,2025-12-08T16:31:17.828761
123,1.228595,1.280387,71.64,0.00033785,2025-12-08T16:32:32.068611
124,1.175471,1.294847,71.75,0.00033025,2025-12-08T16:33:45.722270
125,1.243772,1.245782,71.89,0.0003227,2025-12-08T16:34:59.597705
126,1.229621,1.28289,71.71,0.00031519,2025-12-08T16:36:13.759722
127,1.207929,1.245214,72.04,0.00030773,2025-12-08T16:37:27.885364
