epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
84,1.179584,1.272026,69.19,0.00064683,2025-12-07T23:09:35.108253
85,1.152484,1.323299,69.32,0.00063911,2025-12-07T23:11:06.204402
86,1.154486,1.272103,69.98,0.00063135,2025-12-07T23:12:36.185944
87,1.184056,1.22614,70.03,0.00062356,2025-12-07T23:14:06.566322
88,1.160799,1.259578,69.48,0.00061574,2025-12-07T23:15:37.058123
89,1.130854,1.296452,69.18,0.00060789,2025-12-07T23:17:02.627898
90,1.171037,1.313663,69.36,0.00060001,2025-12-07T23:18:28.743363
91,1.147222,1.305607,69.02,0.00059211,2025-12-07T23:19:45.399631
92,1.135061,1.24143,69.75,0.00058418,2025-12-07T23:20:59.104411
93,1.155526,1.210325,70.45,0.00057623,2025-12-07T23:22:12.449674
94,1.161442,1.233702,70.15,0.00056826,2025-12-07T23:23:25.996108
95,1.114977,1.229529,69.54,0.00056027,2025-12-07T23:24:39.894018
96,1.11257,1.251259,70.28,0.00055226,2025-12-07T23:25:53.282872
97,1.150822,1.196804,70.77,0.00054425,2025-12-07T23:27:06.703241
98,1.155784,1.225244,70.83,0.00053622,2025-12-07T23:28:19.779444
99,1.087432,1.303534,68.5,0.00052818,2025-12-07T23:29:33.274621
100,1.128318,1.253659,70.13,0.00052013,2025-12-07T23:31:01.836980
101,1.121874,1.236514,70.92,0.00051208,2025-12-07T23:32:37.313798
102,1.144237,1.21334,70.34,0.00050403,2025-12-07T23:34:12.631267
103,1.125455,1.23085,70.44,0.00049597,2025-12-07T23:35:48.113277
104,1.112667,1.235923,70.62,0.00048792,2025-12-07T23:37:17.088537
105,1.10377,1.25539,70.35,0.00047987,2025-12-07T23:38:46.143215
106,1.112421,1.248163,70.76,0.00047182,2025-12-07T23:40:14.805607
107,1.079402,1.229974,70.82,0.00046378,2025-12-07T23:41:43.659118
108,1.068419,1.182355,71.08,0.00045575,2025-12-07T23:43:12.012159
109,1.100665,1.182823,71.94,0.00044774,2025-12-07T23:44:40.819928
110,1.12331,1.217342,71.0,0.00043973,2025-12-07T23:46:09.307066
111,1.057154,1.193142,71.52,0.00043174,2025-12-07T23:47:39.298050
112,1.075738,1.200667,71.4,0.00042377,2025-12-07T23:49:08.628406
113,1.096224,1.184283,71.28,0.00041582,2025-12-07T23:50:42.764667
114,1.113127,1.157307,72.18,0.00040789,2025-12-07T23:52:17.909311
115,1.09515,1.188221,71.66,0.00039999,2025-12-07T23:53:40.299635
116,1.060294,1.178853,71.53,0.00039211,2025-12-07T23:55:05.117436
117,1.110818,1.139366,71.98,0.00038426,2025-12-07T23:56:19.938339
118,1.037722,1.165454,71.8,0.00037644,2025-12-07T23:58:08.390922
119,1.058556,1.178944,72.43,0.00036865,2025-12-08T00:00:33.100728
120,1.062548,1.196061,71.8,0.00036089,2025-12-08T00:02:58.494860
121,1.052907,1.15671,72.17,0.00035317,2025-12-08T00:04:38.877280
122,1.07284,1.174726,71.78,0.00034549,2025-12-08T00:05:52.797763
123,1.052346,1.174492,72.14,0.00033785,2025-12-08T00:07:12.479392
